file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,emotion
data\AudioData\JE\a01.wav,0 days,0 days 00:00:03.559319728,32.186527,0.14545153,28.501936,32.033493,36.819546,8.31761,195.07361,245.19821,97.963615,84.13603,1.9000752,0.78001654,0.32433805,1.4619948,3.311913,2.987575,24.964735,13.841193,27.29865,20.829859,2.5796924,1.0200891,25.673016,0.679934,13.602105,0.8924834,17.441961,0.7372745,0.9020966,19.293922,0.045678876,1.632235,1.3004166,0.82364374,7.9807477,0.48982465,10.193501,1.1859411,29.924784,0.35255826,513.7443,0.32408422,1279.7013,0.23227802,-77.5189,-1.152527,1616.6721,0.18467195,887.324,0.42401257,-83.49688,-0.9425841,2687.3125,0.11094067,886.866,0.41019762,-87.31297,-0.8678484,-22.810701,-0.33365935,31.327774,0.2778534,-0.020017201,-1.9436922,-0.033659387,-0.48441404,3.685553,0.6991029,32.745354,0.4274394,13.841809,0.8693365,17.09854,0.8276121,-3.0617597,-5.8571877,-27.400717,39.662422,-0.11328477,-0.010732375,0.40021235,3.3898306,2.2922635,0.285,0.19949937,0.12875,0.1230282,-10.907665,anger
data\AudioData\JE\a02.wav,0 days,0 days 00:00:03.093900227,31.826365,0.26427144,26.14365,30.244198,37.05749,10.913841,1710.8099,1417.4423,114.48815,146.9371,1.6784959,0.9927471,0.15432124,1.0446124,3.1668568,3.0125356,31.491034,18.287895,28.837547,14.377469,2.0247285,1.2871416,27.990036,0.59899354,6.039234,2.401381,12.211534,1.2209886,4.2126346,3.7257824,0.03037069,1.111112,1.4474053,0.9189683,5.746442,0.82347095,3.3562596,2.8909562,22.25485,0.6653046,486.21805,0.33247706,1224.0515,0.16259612,-91.36189,-1.0205245,1463.3318,0.17138368,946.4619,0.29556906,-91.09519,-0.9397103,2522.126,0.11309687,813.7455,0.51903343,-93.877174,-0.87800974,-18.3296,-0.49500343,27.337618,0.3502148,-0.013101693,-3.323538,-0.029802645,-0.43060598,3.2239594,0.85355496,33.57712,0.52763474,2.8375266,5.3997235,7.9462194,2.062622,-1.5001383,-10.849921,-31.941092,44.285843,-0.10914599,-0.009885831,0.2541263,2.922078,1.980198,0.29999998,0.31596413,0.15714285,0.15172477,-12.885083,anger
data\AudioData\JE\a03.wav,0 days,0 days 00:00:02.201111111,31.527908,0.09828466,29.294785,31.70242,34.031982,4.737198,98.06838,71.024765,44.064278,29.322256,1.3529407,1.1848234,0.10157786,0.20745401,2.9375815,2.8360038,22.32791,11.7533455,34.065372,14.006896,1.9571065,1.3512099,27.733686,0.40207902,10.65136,1.0067523,14.55974,0.76020163,7.067594,2.2149005,0.038494628,1.2528746,1.3178862,0.6318068,6.2620125,0.70167726,11.173069,0.66955,29.434736,0.39948517,527.7157,0.31968537,1222.4119,0.1494928,-113.15254,-0.82557267,1594.0776,0.19716501,938.13794,0.41478255,-120.371735,-0.71160364,2675.9836,0.11996178,956.3017,0.5253935,-122.588974,-0.67864794,-21.819483,-0.43853918,28.74171,0.3704068,0.003984199,9.59526,-0.03773158,-0.41490963,4.261013,0.57235974,34.756077,0.34512627,11.383903,1.1592305,15.813117,0.87066025,-2.4870923,-6.6881576,-32.451557,50.015774,-0.11145562,-0.004225604,0.09222301,2.283105,1.4018693,0.31666666,0.2719477,0.28,0.25913316,-12.457286,anger
data\AudioData\JE\a04.wav,0 days,0 days 00:00:03.279773243,31.524353,0.16738711,27.945967,31.125465,35.282776,7.336809,701.7245,1136.4446,30.559422,12.021896,1.5740253,1.0291666,0.104091994,1.0077765,2.9100611,2.8059692,34.726685,26.724787,27.556229,14.601066,2.1254425,1.2220634,24.604761,0.6567265,12.394536,1.1236079,13.552746,0.94137895,0.53722596,29.567308,0.028100556,1.3882972,1.488631,0.91481805,6.5016055,0.61690253,7.8970304,1.4444363,27.534088,0.40518346,486.09787,0.29619715,1198.5808,0.19174676,-100.05812,-0.9274241,1520.7922,0.14333029,894.39374,0.45150566,-102.63706,-0.8124057,2595.318,0.10404504,754.61597,0.38824174,-105.565575,-0.76357925,-19.13442,-0.43230298,28.025288,0.33426312,0.004480009,9.4913025,-0.032149028,-0.49049446,3.6402369,0.71889746,30.393812,0.51204634,10.085613,1.5866809,13.678946,1.143529,-3.6472485,-5.0293283,-28.859253,41.1542,-0.08114375,-0.013711188,0.3175224,3.0674846,3.1152647,0.16799998,0.13113351,0.14444445,0.18427701,-12.042483,anger
data\AudioData\JE\a05.wav,0 days,0 days 00:00:03.203764172,32.449673,0.24561949,31.098381,32.612026,35.356552,4.258171,268.22968,143.0649,113.06565,26.063877,2.067757,0.92952806,0.17179969,1.2540301,4.098362,3.9265623,32.862614,16.259148,25.299412,10.2445135,2.5653865,1.1020913,22.452152,0.8911977,12.365209,1.0058548,12.29179,1.0471877,-1.5322506,-10.76571,0.037110876,1.7284178,1.3164879,0.94528437,7.0874486,0.6149977,5.564755,1.6955105,27.146465,0.46273547,523.6215,0.3927184,1275.4154,0.21110179,-82.51707,-1.1363344,1560.5427,0.17544487,932.73676,0.3407464,-85.62321,-0.9588248,2631.4111,0.11146242,891.4628,0.5176996,-88.884766,-0.8960269,-19.664045,-0.39202556,29.967276,0.33143318,0.011227322,4.7344704,-0.031989418,-0.5636739,3.8370292,0.7253334,30.328356,0.53987134,9.196684,1.3289703,10.507164,1.3523123,-6.1314263,-2.7148998,-22.826986,33.852932,-0.07760291,-0.014849397,0.4055367,3.1347964,2.2292995,0.28,0.2043806,0.14571428,0.111721225,-9.552458,anger
data\AudioData\JE\a06.wav,0 days,0 days 00:00:04.139546485,29.464415,0.2098787,25.818428,28.222324,32.429695,6.611267,823.7089,1047.7351,76.483864,45.55505,1.515426,0.97447306,0.17038989,0.95918155,2.8229687,2.6525788,29.253014,17.117762,27.5504,12.1345825,1.7782459,1.2074943,24.264864,0.77381796,8.077964,2.1420445,16.096233,1.1249101,4.447422,3.1216495,0.04689524,1.3822416,1.6560822,0.8827276,4.9985094,0.6919813,3.4245963,3.3810458,21.973963,0.7071104,494.55804,0.3484987,1201.5164,0.18143536,-96.53408,-0.9702949,1543.6132,0.17233531,914.98016,0.3908879,-101.36167,-0.83908653,2583.1575,0.12181031,885.1353,0.38746095,-103.098045,-0.80755496,-18.731773,-0.5655647,28.184435,0.38848332,-0.021513756,-1.8484758,-0.029718066,-0.59578973,2.9606473,0.74158853,33.508347,0.4757097,4.456506,4.3391,12.903915,1.7336965,0.92805,15.892809,-27.891289,39.711334,-0.099368125,-0.011295877,0.3167303,2.9126215,2.2113023,0.24555555,0.18306714,0.18444444,0.24404512,-14.020825,anger
data\AudioData\JE\a07.wav,0 days,0 days 00:00:03.086961451,30.265196,0.16576588,27.329956,30.020576,33.960545,6.6305885,15.274171,9.7825165,221.46991,209.35394,2.135689,1.039427,0.10900493,0.4983877,4.937405,4.8284,15.154706,10.897505,15.462478,5.360775,1.9023659,1.2493346,29.509413,0.3278285,6.807579,1.617968,7.6021366,1.8520001,1.5727504,9.226209,0.016191475,1.8893312,0.6259527,0.80777955,8.194437,0.46958044,4.8024244,1.776655,25.352472,0.5388073,498.36234,0.29389697,1250.2102,0.1526708,-98.263535,-1.0192353,1461.2312,0.14036448,964.35187,0.30723897,-104.19274,-0.8796181,2603.582,0.08705516,897.23254,0.35120776,-109.18179,-0.79486465,-17.45106,-0.37212226,29.067781,0.28381163,0.011587551,2.7084212,-0.034939423,-0.32749882,3.6658475,0.5829812,35.89684,0.2338544,4.473549,3.0557513,2.8048706,6.0652647,-9.481286,-1.2023687,-33.23002,49.8105,-0.10650446,-0.007344959,0.03334179,1.3029317,0.66225165,0.78,0.75,0.47,0.31822422,-9.965859,anger
data\AudioData\JE\a08.wav,0 days,0 days 00:00:04.223786848,34.21551,0.22860466,28.23613,32.020393,36.635735,8.399605,632.7052,994.2618,282.88593,656.2761,1.731968,1.1020682,0.12764774,0.81522757,3.3845398,3.2568922,36.569878,23.570005,23.971943,11.497522,2.0575392,1.2505184,23.96101,0.7492326,13.778408,1.1769572,13.809919,1.0046391,-0.5219161,-25.735966,0.035078403,1.2297648,1.4972898,0.7712178,7.414162,0.6657653,8.442666,1.4984936,28.168667,0.6025072,578.531,0.37214658,1199.5159,0.19388819,-94.14767,-0.98637056,1712.8337,0.1720729,872.5126,0.36467615,-97.81935,-0.84006256,2744.5437,0.11742418,906.8431,0.42354503,-99.23145,-0.8144779,-21.596294,-0.53051406,30.754591,0.4042914,0.009787782,6.055264,-0.029861994,-0.5665762,3.3432746,0.7973592,28.259302,0.67283386,14.981414,1.2266102,14.327876,1.1613355,-5.693928,-2.4037166,-28.451447,40.002895,-0.09148525,-0.013664433,0.21996677,2.3752968,1.923077,0.30124998,0.20654523,0.22285715,0.24164404,-9.633119,anger
data\AudioData\JE\a09.wav,0 days,0 days 00:00:04.869024943,28.407354,0.2193155,24.820354,29.14422,31.161388,6.341034,427.2335,511.96585,22.14088,82.11661,1.6342907,1.0247998,0.12735875,0.9556624,3.4498463,3.3224876,43.109066,30.92497,30.612478,17.67229,1.9759283,1.2705534,27.476768,0.60539323,13.439525,1.1074384,19.324474,0.82902986,3.3371942,3.8684323,0.058918875,2.017344,1.7649779,0.8948211,5.7237372,0.6843064,6.449138,2.798673,26.940619,0.4597698,511.6081,0.38246793,1270.9065,0.19357486,-79.097626,-1.1257987,1572.7095,0.17260852,941.407,0.37381256,-87.08451,-0.92342323,2625.5718,0.117114715,856.4793,0.42475042,-89.91211,-0.8702113,-22.198742,-0.4424118,30.999313,0.3648967,-0.024876613,-1.8893511,-0.030386465,-0.42290542,2.9338014,0.8964903,33.272617,0.43545958,12.927153,1.1609141,20.077293,0.9172802,1.8142301,7.627261,-28.783665,40.944904,-0.1007342,-0.016712228,0.16155846,2.6804125,1.8750001,0.3433333,0.37900454,0.1875,0.18191688,-12.820351,anger
data\AudioData\JE\a10.wav,0 days,0 days 00:00:05.153900227,28.915726,0.16188525,25.953856,29.120813,32.168304,6.214449,234.67102,133.61348,51.881584,28.842651,1.8059012,1.0176321,0.118976936,1.1805873,3.576291,3.4573143,37.109043,19.977602,29.980497,15.916957,2.2501037,1.2520745,26.37956,0.6014932,12.109542,1.1611494,16.758343,0.81246835,-0.49810928,-30.722363,0.03959014,1.5146103,1.5862304,0.97826946,5.6552763,0.7720842,4.486994,2.6937969,23.89929,0.5925228,511.282,0.36051023,1238.2087,0.1867862,-85.810455,-1.0809339,1586.2642,0.19025911,920.2633,0.42352676,-94.179504,-0.89281636,2668.046,0.11864119,907.5609,0.5079315,-96.36549,-0.8520598,-20.658901,-0.46802312,29.446898,0.36778918,-0.007483752,-5.621704,-0.03401394,-0.43299475,3.5351217,0.8381857,33.579903,0.357491,10.952128,1.2104254,17.335907,0.959907,-2.8613708,-5.919487,-28.146873,40.221436,-0.09554064,-0.014623825,0.2792175,3.307393,1.5717093,0.38125,0.3300923,0.2325,0.2458531,-10.958726,anger
