file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,emotion
data\AudioData\JK\a01.wav,0 days,0 days 00:00:04.129977324,31.562855,0.20467466,26.337759,31.526482,34.8994,8.56164,448.5258,702.9812,64.36761,35.92962,1.6376524,0.8525701,0.23937601,1.2991765,2.758332,2.518956,22.447815,11.604508,26.268688,15.2623625,1.9719621,1.0482105,27.841812,0.70987386,9.519656,1.5005125,24.291397,0.7423609,-12.715963,-1.9202596,0.04324297,1.3550578,1.3581811,0.7918962,6.5814767,0.6076453,8.101078,1.6391119,23.462667,0.68839955,491.95218,0.3675601,1182.8783,0.18235295,-74.05538,-1.2430031,1573.9121,0.21381575,820.9638,0.4800974,-79.287384,-1.039255,2668.3328,0.09445739,792.2061,0.62777746,-80.16448,-1.0166411,-20.294193,-0.40918565,27.862558,0.3211303,-0.024017083,-1.8070804,-0.035476543,-0.5525432,2.863946,0.69735163,33.224854,0.60369265,7.4022074,2.00983,27.568506,0.70367515,-22.412085,-1.0687947,-33.952976,46.11601,-0.11685643,-0.008916962,0.19704951,3.163017,1.7241379,0.3828571,0.2890731,0.15375,0.18707868,-13.518814,anger
data\AudioData\JK\a02.wav,0 days,0 days 00:00:03.647800454,29.07338,0.15455002,26.27997,28.558039,31.09571,4.8157406,491.17114,547.89734,40.809956,21.360107,1.7441015,1.0341336,0.1509582,1.0350752,3.574556,3.4235978,27.27263,10.410335,29.073595,15.819658,1.8814262,1.2124664,30.483585,0.45927104,4.7803235,4.004257,18.09441,0.96859497,-8.964829,-2.3680592,0.025347555,1.2159976,1.2999066,0.86058867,5.7698803,0.64407873,5.1893363,1.6971233,24.440207,0.4084912,460.09775,0.3082773,1262.725,0.16484578,-92.62235,-1.0369625,1514.883,0.17279585,992.3741,0.34875196,-96.193306,-0.9287091,2588.1897,0.10093385,880.6543,0.45544645,-98.468666,-0.8852312,-18.196005,-0.48811683,26.615892,0.37688905,-0.002957709,-12.772512,-0.033371493,-0.4411126,3.14856,0.7163138,38.01689,0.2577114,-2.0255213,-10.120202,22.119694,0.90305185,-18.407959,-1.2146438,-32.772488,44.72031,-0.09664548,-0.011899898,0.280456,3.0303032,1.6759777,0.32833332,0.38641158,0.292,0.30498523,-13.017253,anger
data\AudioData\JK\a03.wav,0 days,0 days 00:00:02.515736961,32.345673,0.19503084,28.830662,31.955559,37.423996,8.593334,1270.0758,1755.0231,21.74272,15.147899,1.5676072,1.0735289,0.09514545,0.8527796,3.3166485,3.221503,27.902197,17.921225,21.563509,9.722974,1.8950987,1.3859961,30.420681,0.3740904,11.678831,0.92967397,21.249292,0.83913994,-10.416139,-2.4629576,0.030549739,1.1904848,1.2439954,1.0745063,7.9718003,0.48972806,7.716247,1.439353,24.564827,0.55564374,464.0777,0.28837064,1205.6196,0.16601327,-101.71037,-0.9666123,1558.8906,0.19686607,846.64307,0.39563456,-101.98676,-0.83734894,2658.9402,0.08588869,849.028,0.64939106,-102.19842,-0.8291742,-20.986431,-0.41904455,27.884834,0.36807662,0.006328718,5.987962,-0.044283286,-0.25308895,3.3815582,0.80607444,36.398987,0.31531087,7.779157,1.5611172,25.057316,0.8334488,-26.815,-0.84798163,-38.790157,52.69395,-0.10974722,-0.012529145,0.03522738,2,1.2244898,0.45333332,0.38724098,0.255,0.2207374,-12.492417,anger
data\AudioData\JK\a04.wav,0 days,0 days 00:00:03.522018141,31.656996,0.23787174,27.583633,31.07724,35.17961,7.595978,1032.513,1620.3586,21.481403,24.149279,1.6226904,1.0939958,0.101915866,0.90174437,3.317836,3.2159202,31.34342,23.874197,34.16893,13.080315,2.1248302,1.2973182,28.830343,0.5572587,10.616146,1.5547866,17.272272,0.9385569,-9.005286,-2.3848145,0.04813828,1.5803338,1.439996,0.85343236,5.802328,0.7602738,5.7901864,1.4117107,27.41096,0.39168426,520.6696,0.3621957,1223.9395,0.17812027,-77.598495,-1.2069252,1568.6166,0.16704476,998.45483,0.314563,-86.158005,-0.9608673,2605.3828,0.104476936,767.3682,0.39617434,-86.84012,-0.9452728,-19.88381,-0.42347905,27.434908,0.3824421,0.004581997,9.303072,-0.037194867,-0.38456637,3.2853355,0.8703819,33.08894,0.5002463,5.3756313,3.3279417,18.245083,1.0886577,-17.986462,-1.1864742,-35.256435,47.17768,-0.09226856,-0.014067299,0.077839606,3.133903,1.734104,0.3633333,0.28347054,0.19,0.22642143,-12.644097,anger
data\AudioData\JK\a05.wav,0 days,0 days 00:00:03.521995465,32.860725,0.20879993,27.943459,32.846832,35.527374,7.5839157,205.91878,258.629,66.53964,47.845245,1.8313315,0.93684834,0.11783326,1.2130622,3.6025095,3.4846764,29.804138,18.804266,30.917107,20.140675,2.5352154,1.1986375,25.85163,0.77737164,9.99493,1.7066327,17.83546,0.742991,-12.519024,-1.8904115,0.047861606,1.2194266,1.3579967,0.7092371,6.036319,0.72574574,6.2605076,1.8468089,24.483948,0.55056715,524.8221,0.38415623,1179.4346,0.19801563,-79.819016,-1.2177647,1578.9325,0.18891686,938.9951,0.36419883,-84.91662,-1.0017953,2621.5461,0.10012547,749.67145,0.44754767,-84.87611,-0.9800437,-19.482962,-0.4216412,27.883373,0.30212042,0.015885826,2.9025788,-0.03555457,-0.45360395,3.854978,0.80059284,32.341824,0.5298252,3.8765893,4.2723374,17.827698,0.8679845,-22.090199,-1.0991317,-29.366405,39.80707,-0.09899829,-0.014758877,0.21506275,3.4188035,2.0231214,0.31,0.27989793,0.16142856,0.16556644,-11.631754,anger
data\AudioData\JK\a06.wav,0 days,0 days 00:00:03.794557823,33.20188,0.23266275,27.502913,33.362705,38.084686,10.581774,1241.4042,1577.913,46.871464,16.050175,2.230518,0.9683251,0.1902129,1.5151103,4.493555,4.3033423,42.008312,20.910612,31.307634,14.177912,3.1027105,1.1946945,22.822878,0.8367036,7.4307976,2.5539129,19.290735,0.82240665,-11.716873,-1.6872697,0.040290855,1.5228466,1.4218949,0.92704433,5.353477,0.8252823,6.070264,1.8757653,23.275362,0.5896311,528.2872,0.3830766,1239.8402,0.20258532,-91.27556,-1.0252794,1571.2533,0.18033473,982.9166,0.45208722,-89.43146,-0.9272294,2618.629,0.10548409,917.2419,0.54036635,-89.74301,-0.9197857,-18.719608,-0.6352026,26.71576,0.50738364,0.002729693,17.710089,-0.033222135,-0.51364744,4.6516175,0.83955634,30.215828,0.5145956,3.525653,5.896349,18.004503,1.0147499,-19.266878,-1.0130589,-24.308075,34.35952,-0.09183155,-0.009449644,0.6227173,2.910053,2.6809652,0.22399999,0.17059894,0.12699999,0.12954149,-10.410082,anger
data\AudioData\JK\a07.wav,0 days,0 days 00:00:02.788253968,31.38191,0.20165214,27.65484,31.807333,35.71135,8.056509,172.99808,105.07229,119.45859,98.98326,3.2072968,0.92155695,0.12891854,2.533244,6.653712,6.524793,39.310543,22.799156,38.2378,22.339058,4.554123,1.0942866,28.560516,0.35809192,6.001528,2.7182548,15.039807,1.286637,-15.567488,-1.4259804,0.048118588,2.271281,0.68655854,1.1490269,6.8989763,0.4798409,4.101441,2.629965,24.551813,0.5446493,526.65594,0.41972592,1221.6948,0.18723692,-62.4441,-1.4301329,1559.3915,0.21206462,924.1886,0.45304206,-68.489586,-1.1795968,2658.0703,0.11330397,822.5575,0.45548174,-72.17413,-1.0843129,-19.4632,-0.49212664,29.031574,0.41521183,0.019134087,2.5163488,-0.037893012,-0.4545735,6.3869166,0.7555789,31.701893,0.32505113,2.8117037,6.194998,11.125164,1.8172665,-23.402143,-0.8617807,-34.02208,43.72371,-0.10367858,-0.017516006,0.04314759,2.5270758,1.1029412,0.64666665,0.8226921,0.1775,0.16068214,-7.3757772,anger
data\AudioData\JK\a08.wav,0 days,0 days 00:00:03.584897959,34.941154,0.21363842,29.508202,35.158493,38.867954,9.359753,335.64792,317.31906,74.48034,45.42369,2.3740635,1.0738215,0.10628897,1.3472852,4.5603447,4.454056,35.231495,30.535622,46.733208,22.632803,3.739696,1.2411102,21.017221,0.9344767,12.001427,1.4279186,17.097494,1.034723,-5.926301,-3.139204,0.047397733,1.0895637,1.7192911,0.81518215,6.4977407,0.7697255,11.008837,1.0056465,27.023346,0.5012837,529.95856,0.38454354,1217.8599,0.20635988,-96.33015,-0.9460398,1632.1284,0.17640898,957.9853,0.4774709,-90.88321,-0.90704405,2669.1997,0.10437662,879.26154,0.55770636,-91.46825,-0.8818216,-19.396921,-0.54988045,28.843184,0.4193767,0.002732493,19.147066,-0.03111532,-0.47256526,5.779421,0.8407102,25.428257,0.7393709,8.805592,2.0900106,15.331316,1.292518,-13.30722,-1.3162322,-27.817774,37.664734,-0.09007169,-0.011130703,0.49343914,2.8011205,2.5568182,0.23666665,0.17795129,0.13222222,0.19135642,-8.47635,anger
data\AudioData\JK\a09.wav,0 days,0 days 00:00:04.004195011,33.034893,0.2396221,27.009045,33.284706,38.200104,11.191059,614.0154,901.4791,78.75873,54.07786,2.3423252,1.0534332,0.14864503,1.4520937,4.722924,4.5742793,54.939213,34.793583,42.792183,21.248713,3.4800446,1.1763505,25.525091,0.747591,11.890748,1.4415133,18.442713,0.87979746,-10.45429,-1.9224832,0.08001677,1.4414057,1.6197485,0.8823932,5.2988963,0.8951563,5.35502,2.5320318,24.088469,0.6061281,536.3637,0.38622668,1177.4481,0.15895644,-75.40217,-1.1882207,1623.9921,0.1889635,891.5784,0.30181772,-79.942604,-0.984615,2670.638,0.120612584,826.34467,0.5324209,-79.49414,-0.97971565,-20.941177,-0.5214422,28.15985,0.43993223,0.005175464,8.802185,-0.035926893,-0.3852059,4.9237027,0.85153395,30.615772,0.5686984,8.830772,1.9716573,20.003645,0.91431683,-16.666735,-1.2237924,-26.77421,36.24978,-0.08995436,-0.015226805,0.33837938,3.2581453,2.030457,0.33374998,0.3280982,0.15428571,0.16238025,-9.84152,anger
data\AudioData\JK\a10.wav,0 days,0 days 00:00:04.276734694,32.406754,0.21683556,26.718933,32.82587,37.583145,10.864212,728.7423,902.7885,80.487785,55.58667,2.6451714,0.85782146,0.44703838,1.976403,4.9550886,4.5080504,53.54673,32.137463,46.036938,26.246399,4.2978115,1.0205675,25.843563,0.7204986,9.591943,1.7481657,16.83736,1.0435371,-13.970436,-1.5954074,0.056751154,1.4417057,1.6904215,0.8143703,5.491336,0.84961164,6.3280444,1.8574129,25.177032,0.54717666,503.35007,0.3590927,1212.4847,0.20772137,-54.785366,-1.5478925,1556.2668,0.17199376,939.7102,0.37653303,-60.226326,-1.1931422,2615.8801,0.09694882,880.5747,0.46256146,-61.567852,-1.1462648,-19.688803,-0.48993757,27.84795,0.3892946,0.012367105,3.6831877,-0.037574723,-0.4470182,5.470442,0.79185236,30.8104,0.49122706,5.5044427,2.7355084,16.6471,1.1611242,-20.234066,-0.9980334,-23.429335,32.112434,-0.09372956,-0.015759,0.34335127,4.2253523,1.6666667,0.46285713,0.425297,0.16,0.14477569,-8.601514,anger
