file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,emotion
data\AudioData\KL\a01.wav,0 days,0 days 00:00:03.962267574,29.961895,0.28455707,25.230686,28.956732,31.290567,6.059881,557.4747,1120.6787,87.02192,84.8579,0.22437382,0.82105285,0.037947178,0.19496976,0.34220418,0.304257,2.948852,1.6349058,2.3264003,1.4784771,0.11570787,1.0537854,29.887997,0.68456906,15.603608,0.646795,21.3402,0.97205555,5.059147,3.7216368,0.049696468,1.609704,1.4484183,0.74143517,6.167017,0.574185,4.4246893,3.4609747,31.635452,0.60211265,552.87573,0.37850484,1169.9144,0.21684647,-67.70186,-1.3156803,1687.0508,0.19273391,866.2332,0.41049516,-78.35344,-1.0033633,2725.571,0.12319571,988.9414,0.338618,-80.55485,-0.9540359,-25.673191,-0.39030546,34.440018,0.31500316,-0.007040704,-7.5811367,-0.029457219,-0.8658314,0.15987234,0.7694841,34.961636,0.60640466,15.151154,0.7237431,24.415594,0.90246904,1.5381613,13.869591,-32.83348,46.51943,-0.08478192,-0.004988946,0.017825969,3.544304,1.7948718,0.38142857,0.17496353,0.13499999,0.10735455,-36.881203,anger
data\AudioData\KL\a02.wav,0 days,0 days 00:00:02.473786848,25.547592,0.107873365,23.111,26.341389,27.705854,4.5948544,81.572266,84.882744,-0.9057175,30.706224,0.22842933,0.8908609,0.030239249,0.18285465,0.43695173,0.40671247,2.9613345,0.9964834,3.5044742,1.9451591,0.09574704,0.98367524,36.527477,0.43854976,9.7926035,1.1006371,8.453033,1.6218945,-0.368078,-46.620777,0.019893516,1.4565264,1.5160586,0.8181986,5.225773,0.57378393,-1.1196514,-4.545364,27.285849,0.36669692,455.46188,0.31937942,1356.6898,0.15750697,-79.49234,-1.1891004,1369.9065,0.15342933,1100.7947,0.20600057,-88.797615,-0.9847267,2438.8535,0.0958655,888.146,0.38406748,-96.044785,-0.8476378,-19.78658,-0.29954898,31.679008,0.22038732,0.014365028,2.0832844,-0.03486547,-0.45848668,0.14816304,0.5692918,47.16243,0.22425249,5.1406803,2.082051,4.8658295,2.9879408,-8.152946,-1.8597174,-30.609455,44.59364,-0.07733887,-0.007594831,0.020435903,3.6585364,2.074689,0.278,0.23549098,0.145,0.14603081,-39.028618,anger
data\AudioData\KL\a03.wav,0 days,0 days 00:00:01.761020408,29.31413,0.11911939,26.806374,30.910461,32.415005,5.608631,487.90695,637.698,63.968124,68.528366,0.17370693,1.0720774,0.026368592,0.075975806,0.32447812,0.29810953,2.458323,1.4422722,3.8386028,2.2609518,0.102731556,1.5341225,29.108067,0.508805,18.781807,0.4449607,17.70576,0.751354,6.239466,3.833338,0.028326796,1.3160754,1.0660466,0.81746286,6.4056373,0.7019881,9.093958,1.0150814,34.472183,0.3479578,465.87683,0.3062624,1276.46,0.16002715,-103.072395,-0.938041,1541.5477,0.16302687,930.7641,0.33027226,-112.297035,-0.76031315,2593.8804,0.09187215,981.0822,0.36037666,-114.640305,-0.7221247,-25.090868,-0.3219451,33.44193,0.28664908,0.010282375,3.5787363,-0.038732156,-0.4552046,0.1996419,0.88357997,41.01218,0.26924425,15.705119,0.65551805,17.749615,0.9974966,-4.0948677,-7.101895,-35.38131,48.309296,-0.090990975,-0.006124576,0.007204349,2.2857144,1.1764706,0.42499998,0.21499999,0.26666665,0.16027753,-38.57596,anger
data\AudioData\KL\a04.wav,0 days,0 days 00:00:02.767278912,29.92602,0.28464955,25.450453,28.307558,32.36971,6.919256,65.84084,47.88224,58.194233,27.7746,0.20928282,1.052304,0.028169122,0.13327496,0.34836653,0.3201974,3.4143143,2.2125273,3.9809253,1.7707053,0.1229382,1.6578562,30.267185,0.63794154,13.715709,0.8584927,13.647782,0.7731279,4.1942115,4.0349655,0.037204295,1.4078264,1.4867054,0.7201205,5.5700707,0.6450368,3.7194362,3.2996802,29.941963,0.39698437,518.41534,0.3821911,1260.9562,0.21048702,-83.205154,-1.1314745,1499.5365,0.18578029,1021.7407,0.3054491,-91.54434,-0.92424107,2540.4565,0.12811239,898.646,0.54084766,-93.50713,-0.87194014,-21.399733,-0.35492527,31.305693,0.29556814,0.009620819,5.004088,-0.026977671,-0.68388855,0.19806468,1.1903108,38.56272,0.5045835,8.984301,1.28749,12.384297,1.0416886,-0.7587652,-24.656332,-31.951237,44.03817,-0.074539274,-0.008618631,0.01291329,3.2727273,2.621723,0.2242857,0.12465461,0.11875,0.13797078,-36.099102,anger
data\AudioData\KL\a05.wav,0 days,0 days 00:00:02.997913832,28.546267,0.25892302,24.806019,27.090912,30.509682,5.703663,233.28537,299.44064,136.16248,198.472,0.23582223,0.8859714,0.029225104,0.1632762,0.43531185,0.40608674,4.07662,2.5731177,3.036177,1.3597449,0.13803412,1.1505578,31.071758,0.63092834,12.967119,0.84185004,13.259437,0.9075593,-1.4551933,-12.013756,0.05639132,1.4247869,1.5117503,0.77093446,4.534875,0.8527893,-4.7169805,-3.2676396,24.084366,0.8128398,481.02853,0.344095,1299.8801,0.18972543,-78.08862,-1.2419271,1499.1598,0.17642204,985.96783,0.28333527,-86.3765,-0.97201324,2571.2424,0.124212645,907.35815,0.33066142,-90.30208,-0.8881944,-23.46795,-0.29982403,33.513805,0.25570846,0.025092456,1.6336389,-0.03400887,-0.50369966,0.2118394,0.7507872,40.691906,0.39345294,9.214218,1.2705532,9.738111,1.2948914,-7.0909243,-2.5164833,-29.393438,40.748123,-0.06552122,-0.011885652,0.014603565,4.0268455,2.3972604,0.25714284,0.2275154,0.121249996,0.12383834,-36.943645,anger
data\AudioData\KL\a06.wav,0 days,0 days 00:00:03.045510204,27.412804,0.25130522,23.133131,26.14339,30.044533,6.9114017,706.91327,1124.4147,108.19714,90.85227,0.22479856,0.9381753,0.041416533,0.14338683,0.37937474,0.33795822,4.1447487,1.9134755,3.3527763,1.800675,0.12084175,1.1489922,27.600925,0.65546685,14.55203,0.7520691,15.629666,1.0105498,-0.5654628,-33.700787,0.043737344,1.035708,1.7946775,0.80208343,5.13202,0.8025693,-1.9140553,-4.298185,26.65064,0.48857075,573.8068,0.42869115,1299.0812,0.19777583,-82.762024,-1.1180435,1622.6903,0.20308466,989.9877,0.2856891,-92.46983,-0.87635773,2701.8193,0.11267669,998.4829,0.33966768,-94.39679,-0.8284276,-26.313915,-0.33505598,37.40576,0.25781435,-0.006250153,-8.863585,-0.031896446,-0.6436224,0.18373081,0.79256195,37.043476,0.41327143,13.432916,0.82124746,13.357062,1.3106761,-5.42759,-3.6376936,-29.108324,40.6971,-0.07511938,-0.008348116,0.02762085,3.960396,3.0405405,0.19222221,0.11193031,0.091818176,0.08850456,-36.861576,anger
data\AudioData\KL\a07.wav,0 days,0 days 00:00:01.877369615,27.949787,0.081860974,26.52362,28.552544,29.8095,3.2858791,49.23538,37.850864,34.86133,47.676197,0.5158038,0.5734462,0.22839653,0.5456858,0.79046506,0.5620685,3.9160938,2.3249757,3.091726,1.122186,0.2503703,0.65421057,40.208397,0.31532544,8.863902,1.2906693,7.161689,2.1820166,-15.462813,-1.4821626,0.027706956,1.8852261,0.9361677,0.8946338,6.698042,0.6488567,-2.6971345,-4.924651,27.126297,0.51697385,494.11307,0.3886899,1341.7021,0.14967898,-32.76379,-2.3398664,1378.172,0.20428853,1033.264,0.27935132,-41.719276,-1.7128427,2510.749,0.10695351,704.7216,0.6079431,-51.82796,-1.2850151,-21.211569,-0.29645693,32.756596,0.23965257,0.04805487,0.59024477,-0.0421605,-0.42107472,0.30352834,0.4392881,44.520477,0.19772111,6.906862,1.6262735,4.8394146,3.2551887,-22.00684,-0.9349588,-35.44509,48.018787,-0.08601872,-0.007570792,0.003892337,3.7634408,0.5555556,1.49,0,0.29,0,-30.402414,anger
data\AudioData\KL\a08.wav,0 days,0 days 00:00:03.128934240,28.92705,0.22797325,25.636091,28.672739,30.701479,5.0653877,1129.2588,1771.1626,39.08497,30.63841,0.2666869,0.9535161,0.03472092,0.15681683,0.51383764,0.4791167,5.406716,3.3918607,3.6238892,2.3939943,0.14854595,1.2004964,27.769423,0.7867604,16.8718,0.7814831,17.965311,1.030656,-6.864722,-3.6181307,0.041123945,1.5494416,1.5123907,0.77057564,4.885799,0.84683895,1.8553112,3.9839337,30.300282,0.43237582,587.1562,0.33580416,1189.6354,0.19916743,-76.221886,-1.2086245,1686.645,0.21328029,932.9667,0.33600605,-86.90114,-0.92123437,2671.781,0.11749761,820.9195,0.37806582,-87.45108,-0.90007716,-23.82198,-0.46051997,32.065903,0.34920594,0.016975725,2.9319358,-0.040394764,-0.58283436,0.22484,0.8285361,36.314175,0.54755646,14.4031925,1.0123165,14.650731,1.3843006,-16.353834,-1.5266012,-26.72922,37.50316,-0.06598381,-0.011124482,0.022285407,3.858521,2.6578074,0.2375,0.134513,0.104444444,0.07987644,-34.38328,anger
data\AudioData\KL\a09.wav,0 days,0 days 00:00:03.316666667,26.553167,0.12753421,23.550047,27.05916,29.530844,5.980797,273.3784,271.65765,50.788902,33.18117,0.23698509,1.0192728,0.029110886,0.16863468,0.40177208,0.3726612,5.1043754,2.5980413,3.946241,2.8540921,0.124805756,1.2407563,30.7008,0.6123604,14.455265,1.0552592,17.9408,0.75826484,3.7217958,3.6855032,0.050041832,1.8951588,1.5386178,0.7660833,4.889973,0.6201114,-0.18292184,-35.09957,30.513279,0.37985617,483.87616,0.33455527,1281.2501,0.13136947,-74.85004,-1.2402779,1565.4578,0.161164,1048.3215,0.25611144,-88.39841,-0.9342231,2555.0498,0.13346222,999.22076,0.26409143,-91.63557,-0.87339956,-23.334764,-0.34301287,31.775278,0.31619737,0.013248418,3.172842,-0.029759683,-0.4437766,0.19059587,0.85665894,40.77067,0.33830205,9.410759,1.7710191,18.178984,0.784903,1.2864329,11.115824,-28.971811,40.68212,-0.07994565,-0.009350926,0.016721752,3.030303,2.1538463,0.28571427,0.23572728,0.1375,0.12080459,-37.035534,anger
data\AudioData\KL\a10.wav,0 days,0 days 00:00:03.817301587,29.65244,0.24513248,24.954617,27.933712,34.072327,9.11771,578.40204,850.6179,110.69835,92.860634,0.26639807,0.8231076,0.04586582,0.21465641,0.42814586,0.38228005,5.1823215,2.6176448,4.377054,2.183182,0.16583289,1.0997595,31.150305,0.5871441,11.374647,1.201852,15.845382,0.9616315,-5.6182675,-4.0481205,0.03561791,1.2578781,1.5315859,0.6170575,4.7908773,0.7337351,-0.52916473,-18.783813,25.85364,0.52244014,517.4513,0.34814405,1193.8795,0.21060655,-58.078594,-1.5272024,1561.1884,0.20976542,982.49554,0.4380671,-70.65787,-1.1071956,2561.8042,0.12169492,872.1583,0.41535386,-72.46227,-1.047117,-21.820974,-0.4422864,30.256815,0.33289212,0.022925893,2.0252302,-0.03470067,-0.6464531,0.22664027,0.8126566,37.29357,0.44699216,9.482587,1.4151253,15.094933,1.1119725,-10.4491415,-2.3067908,-27.628883,39.66882,-0.066972695,-0.010844898,0.01786507,4.4736843,1.8666667,0.38,0.28550705,0.1175,0.13404757,-35.30959,anger
