file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,emotion
data\AudioData\DC\a01.wav,0 days,0 days 00:00:03.647800454,32.28838,0.25354302,28.019901,31.009487,34.03574,6.0158386,630.63446,1116.7725,92.699234,79.04651,1.230878,0.82277083,0.17030731,1.0860422,2.178362,2.0080545,20.87676,16.04825,19.291492,8.428185,1.6078378,1.0775007,29.99829,0.6931569,12.509744,0.88104564,18.370117,0.98581856,5.809651,2.515201,0.053346932,1.4880078,1.7257955,0.7423584,6.8049397,0.4011175,1.633276,7.0480556,29.112514,0.71325445,555.7123,0.37434465,1176.4309,0.20997809,-71.02988,-1.2869773,1645.5146,0.15309921,905.09796,0.29667094,-79.89881,-1.0113269,2719.5,0.11745429,848.2506,0.36705428,-82.8254,-0.94152164,-23.887495,-0.43277532,32.112667,0.35838106,-0.03276804,-1.4502901,-0.035776637,-0.5650873,2.3131256,0.7327911,35.32589,0.626447,11.951943,1.0920497,17.395735,1.2026148,2.2562559,7.2779207,-38.19007,51.76905,-0.13003309,-0.008058007,0.17510249,3.5812674,2.234637,0.29625,0.2553888,0.24749999,0.21752872,-15.6913595,anger
data\AudioData\DC\a02.wav,0 days,0 days 00:00:03.438140590,28.624493,0.08332161,27.068924,28.368698,29.56438,2.4954567,162.98859,168.94366,29.500397,15.984948,1.5025198,0.9104719,0.15314718,1.1513994,3.0281239,2.8749766,29.681576,20.037247,22.796598,11.221525,1.6013223,1.3014976,32.986713,0.49076077,3.7468157,4.088591,14.251282,1.1300458,7.8651032,1.4442791,0.02793607,1.5914463,1.2602429,0.8572891,6.4974523,0.34475717,5.1845517,1.2426388,22.73044,0.48011205,479.93774,0.24364543,1313.4691,0.12866145,-83.2841,-1.1426376,1526.1439,0.13743244,1103.6545,0.45930257,-90.77735,-0.97681975,2511.8281,0.11620406,1196.7279,0.45589113,-93.185,-0.93105805,-18.014355,-0.5358764,25.981256,0.45638978,-0.035491712,-0.96667546,-0.033422533,-0.37312272,2.6172872,0.83221865,43.5474,0.21667008,-2.1119306,-8.031366,11.991216,1.6631058,6.2606936,2.0755594,-36.675297,48.57624,-0.12797727,-0.008799652,0.123428725,3.5087721,0.89020777,0.6666666,0.50763065,0.325,0.2683747,-15.941064,anger
data\AudioData\DC\a03.wav,0 days,0 days 00:00:02.075487528,32.756123,0.07390024,30.584627,33.15353,34.469784,3.8851566,89.154755,79.52674,16.285757,55.37252,1.4593453,1.1609349,0.14840682,0.37411207,2.7617037,2.613297,18.639956,11.365221,26.256887,13.607822,1.7450435,1.345985,30.59292,0.42539948,9.640108,1.3388796,16.122011,0.8880771,5.946029,2.0651073,0.02825964,1.2055637,0.96924746,0.83248484,8.607254,0.26630336,8.726031,1.2942805,28.513506,0.50226855,549.34143,0.3182028,1292.0273,0.180765,-104.228096,-0.93037677,1683.9886,0.17001301,924.57935,0.39572322,-112.82165,-0.76931334,2681.7803,0.12717308,1056.1464,0.30575973,-114.18613,-0.7496994,-21.20348,-0.46085304,27.755661,0.456384,-0.009886539,-3.8638203,-0.03702776,-0.3788492,3.4712594,0.66903,39.661003,0.31466284,4.9711084,3.4398875,14.380335,1.3618449,-1.7561108,-7.0336003,-41.52231,55.324093,-0.12826872,-0.007823765,0.087311625,2.4271846,0.99502486,0.49499997,0.265,0.32333332,0.19754042,-13.958084,anger
data\AudioData\DC\a04.wav,0 days,0 days 00:00:02.725351474,30.764029,0.12692451,28.082645,31.09427,33.430504,5.3478584,199.32631,148.49152,120.42017,217.91705,1.4265292,1.0351743,0.14576305,0.8327129,2.943342,2.7975788,26.992535,18.481493,32.335564,14.88047,1.8491638,1.2472477,31.208107,0.56850106,10.110798,1.4430299,11.191178,1.4343607,4.297835,3.2461963,0.03946236,1.4100728,1.5851159,0.82860076,6.348756,0.6373988,4.4567547,2.5303988,29.479052,0.44140723,538.44366,0.33985406,1359.1566,0.16960958,-79.94612,-1.189083,1612.6884,0.15715548,1147.9417,0.3137496,-88.340645,-0.95459294,2584.518,0.12855804,1076.191,0.35554475,-91.32883,-0.90057695,-21.995502,-0.40827265,31.218542,0.33849573,0.004690227,9.065921,-0.0375609,-0.35537016,2.9141562,0.8045381,40.401226,0.33279344,6.8107805,2.4731221,7.7286897,2.473477,0.19730663,78.46525,-35.004704,47.587116,-0.11370158,-0.010014268,0.0880396,3.6900368,1.1278197,0.5533333,0.40285096,0.2325,0.18143524,-13.02,anger
data\AudioData\DC\a05.wav,0 days,0 days 00:00:02.997913832,32.76229,0.26499596,28.170227,30.551092,34.77194,6.6017113,991.74817,1260.938,39.34912,28.473404,1.5647078,1.0164046,0.11739613,0.9416018,3.193552,3.076156,26.657793,17.533192,23.528826,17.493637,1.6524897,1.180109,28.203802,0.78543735,7.9311905,1.8159901,15.383204,1.0829831,4.590574,2.7378078,0.03269767,1.3644506,1.4620088,0.98344105,6.7633867,0.56217545,3.3426147,2.8503118,23.311844,0.6443261,590.04895,0.42457038,1232.1724,0.2690585,-76.21905,-1.2496626,1608.6512,0.15004724,956.6157,0.38305423,-80.06666,-1.0650067,2636.9746,0.13405265,985.97046,0.5473717,-82.07479,-1.0218134,-18.066408,-0.43744704,26.252216,0.36709228,0.004547489,11.380201,-0.03300415,-0.5333493,2.537774,0.76277524,34.36533,0.66632235,3.402896,4.6062403,13.140904,1.5112987,1.8282944,7.7859063,-33.572243,44.47956,-0.104461655,-0.010390325,0.08296039,3.6912751,1.7064848,0.374,0.65322584,0.188,0.1855155,-13.182361,anger
data\AudioData\DC\a06.wav,0 days,0 days 00:00:03.736054422,32.551655,0.23383534,29.035625,31.898037,33.892017,4.856392,465.81012,601.6247,62.492832,47.394276,1.322454,0.88475806,0.17153701,1.0228465,2.5990233,2.4274864,27.985012,13.927535,18.406254,5.548394,1.6587785,1.1669698,28.55297,0.64678746,9.93513,1.4858446,13.584066,1.271598,2.8042479,5.1865735,0.06680436,1.581136,1.797959,0.72720987,6.5992613,0.47993523,3.8439076,2.86094,27.04679,0.64944845,571.9364,0.3773361,1277.4661,0.17564465,-88.65111,-1.0643845,1602.1078,0.17292556,1016.1216,0.35859975,-93.53511,-0.9034571,2688.4402,0.12197035,894.2261,0.510219,-95.65915,-0.8589683,-22.010332,-0.4598094,31.137688,0.37257642,-0.0327438,-1.4494969,-0.032787316,-0.61071086,2.656712,0.7346229,35.93231,0.5179097,7.117933,2.4497874,8.639053,2.329197,-1.9853396,-7.7046647,-35.916443,48.337097,-0.1174409,-0.01041944,0.22060174,3.4946237,2.4523163,0.23666665,0.15477581,0.16624999,0.17189659,-15.205573,anger
data\AudioData\DC\a07.wav,0 days,0 days 00:00:02.683650794,32.331398,0.11090422,30.727222,32.029495,34.846672,4.1194496,30.467882,14.601549,-10.74,40.559727,1.9455643,1.0235761,0.13850857,1.5225903,3.9459462,3.8074377,24.017963,14.216784,18.159945,5.2499304,2.2337804,1.1835588,31.85044,0.42925772,5.953456,2.554137,11.73987,1.465278,-1.2521477,-10.47257,0.021321656,1.4644866,0.75683844,0.6655489,8.358517,0.37080705,7.4949493,1.3410597,26.688992,0.5150085,511.93918,0.41153076,1264.6123,0.13303468,-86.48555,-1.1346738,1496.8663,0.1785554,1027.4653,0.39160916,-93.58806,-0.96315,2526.0352,0.12618974,929.2937,0.41945988,-96.7803,-0.9016259,-18.899267,-0.40259925,28.78982,0.35280845,0.002672582,13.796085,-0.035079952,-0.33817208,3.872917,0.62740153,40.047024,0.28421292,-0.48626292,-35.623695,5.770536,3.3994923,-8.901418,-1.2325588,-39.938576,51.735825,-0.12312126,-0.009720898,0.034757182,1.4981275,0.76335883,0.755,0.72499996,0.35333332,0.20725723,-11.927539,anger
data\AudioData\DC\a08.wav,0 days,0 days 00:00:03.472970522,36.134487,0.24287881,31.712774,34.638805,36.353546,4.640772,245.82375,219.84476,106.206024,80.51912,1.4930259,1.0859989,0.09702367,0.95725065,2.809932,2.7129083,31.760801,17.159285,25.099495,10.362044,1.9067925,1.2609774,26.357275,0.79517174,12.734324,0.98795277,10.916901,1.480301,-3.0074198,-5.534608,0.05540032,1.6962626,1.4000874,0.6419704,6.636729,0.7883691,5.36515,2.2571661,28.722666,0.7653138,685.08813,0.3492449,1246.6971,0.2202503,-88.82122,-1.0625618,1723.1531,0.18454787,1009.7182,0.27219096,-91.99708,-0.91488403,2801.6096,0.12923151,1070.4059,0.4738512,-91.70938,-0.90742224,-22.730898,-0.5340809,32.56766,0.4292075,0.008228775,7.8231187,-0.035531607,-0.6261361,3.018281,0.825032,29.706284,0.8240827,10.5075035,1.4517246,6.6228004,2.7762375,-10.607681,-1.6318743,-34.164227,46.45027,-0.0930711,-0.01460823,0.17598006,2.8901734,1.7595309,0.345,0.3079908,0.19999999,0.19209373,-11.5477295,anger
data\AudioData\DC\a09.wav,0 days,0 days 00:00:04.025464853,28.422565,0.10732044,25.507053,28.80707,31.009956,5.502903,154.1517,195.45436,41.24854,21.384212,1.1795679,1.0949335,0.10133623,0.6771652,2.0310624,1.9297261,31.760427,20.293251,22.392315,10.527368,1.4038721,1.3515782,32.930096,0.53772813,13.47597,1.0896232,15.525846,0.9499339,6.686309,1.9599754,0.045887206,2.255025,1.7805251,0.7820718,6.1298003,0.49161074,5.2920065,1.2766086,29.946028,0.41258153,525.6193,0.32782635,1314.4783,0.19391036,-76.569374,-1.1878991,1585.3466,0.14615566,1005.46924,0.26103166,-86.54476,-0.9524203,2622.933,0.106757134,941.1391,0.353748,-90.416145,-0.88187414,-23.37461,-0.3837035,32.150543,0.34804732,-0.017858831,-2.207499,-0.036823865,-0.3346451,2.1196113,0.9577781,41.609493,0.27287722,10.220971,1.6068904,15.300162,1.1707398,6.6733413,2.2761645,-32.63481,44.71533,-0.10408199,-0.015250598,0.11602197,3.2418954,1.0101011,0.64,0.47138095,0.262,0.23155127,-16.570898,anger
data\AudioData\DC\a10.wav,0 days,0 days 00:00:04.604285714,32.587826,0.2307824,28.434803,31.760765,34.192318,5.757515,914.9236,1108.3313,81.136406,95.36638,1.6112615,0.8920894,0.11427361,1.2177464,2.9839153,2.8696418,39.422222,22.208042,26.3902,15.218514,2.0420535,1.1546713,31.70298,0.6055419,10.509073,1.281972,12.046519,1.4557017,-0.8022124,-21.379494,0.050066113,1.9026252,1.5053909,0.79570884,6.740024,0.53684634,4.5295544,2.150211,29.066504,0.56564385,558.3846,0.33649346,1255.7893,0.2591175,-60.27231,-1.4527994,1619.7408,0.18759574,957.91974,0.43508267,-69.17278,-1.1187317,2661.9585,0.12500337,942.34625,0.4411266,-71.43741,-1.0562016,-21.453651,-0.48683372,29.486877,0.3864815,0.0026078,19.04851,-0.039047696,-0.49304906,2.7569454,0.8684976,36.00893,0.54380864,8.490566,1.6582955,10.816342,1.8554791,-4.2699375,-4.325897,-34.927563,48.15049,-0.106709406,-0.010539408,0.14134026,3.7037039,1.1013216,0.66599995,0.3298242,0.35666668,0.20531818,-13.245263,anger
