,gender,emotion,actor,path
0,male,calm,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-02-01.wav
1,male,calm,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
2,male,happy,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-02-01.wav
3,male,fear,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-02-01.wav
4,male,neutral,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-02-01.wav
5,male,sad,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-02-01.wav
6,male,calm,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-01-01.wav
7,male,calm,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
8,male,happy,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav
9,male,happy,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav
10,male,angry,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-01-01.wav
11,male,angry,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-02-01.wav
12,male,happy,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-02-01.wav
13,male,angry,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-01-01.wav
14,male,neutral,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
15,male,fear,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
16,male,happy,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-02-01.wav
17,male,fear,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-02-01.wav
18,male,angry,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-01-01.wav
19,male,angry,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-02-01.wav
20,male,happy,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
21,male,sad,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-02-01.wav
22,male,calm,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-01-01.wav
23,male,calm,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-01-01.wav
24,male,sad,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-01-01.wav
25,male,calm,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
26,male,sad,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-01-01.wav
27,male,happy,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-01-01.wav
28,male,angry,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-02-01.wav
29,male,calm,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
30,male,neutral,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-02-01.wav
31,male,neutral,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
32,male,fear,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-01-01.wav
33,male,angry,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-01-01.wav
34,male,sad,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-02-01.wav
35,male,sad,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav
36,male,sad,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav
37,male,sad,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
38,male,angry,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-02-01.wav
39,male,happy,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
40,male,surprise,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-02-01.wav
41,male,fear,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-01-01.wav
42,male,surprise,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-02-01.wav
43,male,fear,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-01-01.wav
44,male,surprise,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-01-01.wav
45,male,disgust,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-01-01.wav
46,male,disgust,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-01-01.wav
47,male,surprise,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-02-01.wav
48,male,fear,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-02-01.wav
49,male,disgust,1,/content/drive/MyDrive/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-02-01.wav
